idx,question,answer1,answer2,question_type,choice
349,I left the fruit out on the table.,The fruit shed seeds.,Flies swarmed the fruit.,effect,1
350,The ballerina tore a ligament.,She pointed her toes.,She twisted her ankle.,cause,1
351,The child's shoelaces came untied.,He learned how to tie them.,He ran around on the playground.,cause,1
352,I became enthralled in the book.,I returned the book.,I lost track of time.,effect,1
353,The man held similar beliefs to those of his parents.,His parents influenced him.,His parents disowned him.,cause,0
354,The car gradually slowed to a stop.,It ran out of gas.,The driver fell asleep.,cause,0
355,The man ate the ice cream in the sun.,The ice cream lost its flavor.,The ice cream dripped from the cone.,effect,1
356,I hung artwork in the room.,The carpet looked dirty.,The walls looked bare.,cause,1
357,I left work early.,I had a headache.,My boss held a meeting.,cause,0
358,The puppy soiled the carpet.,The owner scolded the puppy.,The owner gave the puppy a treat.,effect,0
359,I apologized to my friend.,My friend forgave me.,My friend became infuriated.,effect,0
360,The man stood out in the crowd.,He carried a backpack.,He wore a neon vest.,cause,1
361,The witness lied under oath.,He completed his testimony.,He was charged with perjury.,effect,1
362,The woman dyed her hair.,She wanted a new look.,She wanted to blend in.,cause,0
363,The immigrants were caught illegally residing in the country.,They found employment.,They were deported.,effect,1
364,The public speaker cracked a joke.,The audience laughed.,The audience stood up.,effect,0
365,I looked into the sun.,The sun blinded me.,The sun tanned my skin.,effect,0
366,I felt bored.,I snorted.,I yawned.,effect,1
367,The steak was difficult to cut.,The knife was dull.,The steak was raw.,cause,0
368,The woman declared bankruptcy.,She received alimony payment.,She acquired massive debt.,cause,1
369,The lights in my friend's apartment were on.,I wondered if he was out.,I decided to pay him a visit.,effect,1
370,I put the flower under my nose.,The petals came off the flower.,I picked up the flower's scent.,effect,1
371,The woman felt nostalgic.,She ran into a childhood friend.,She yelled at her children.,cause,0
372,The student procrastinated on the paper.,He submitted the paper early.,He submitted the paper incomplete.,effect,1
373,My car broke down.,I went to the mall.,I called a mechanic.,effect,1
374,I discarded the note.,It was anonymous.,It was illegible.,cause,1
375,The bird flapped its wings.,It laid eggs.,It ascended upwards.,effect,1
376,I parked in the driveway.,The garage was open.,The garage was full.,cause,1
377,The criminal aimed the gun at his victim.,The criminal put down the gun.,The victim put his hands up.,effect,1
378,I looked forward to the weekend.,I planned to attend my uncle's funeral.,I planned to attend my friend's wedding.,cause,1
379,I lost track of time.,I was daydreaming.,I was nauseous.,cause,0
380,The document printed out illegibly.,The printer was low on ink.,The print was out of paper.,cause,0
381,The stadium played the national anthem.,The fans turned to the flag.,The fans rushed the field.,effect,0
382,The dip tasted bland.,I served it.,I put salt in it.,effect,1
383,I set the paper towel on the spill.,The towel absorbed the liquid.,The spill left a sticky residue.,effect,0
384,The woman was interrupted in the midst of reading her book.,She bookmarked her page.,She reread the book.,effect,0
385,The plane hit some turbulence.,The man tightened his seatbelt.,The man looked out the window.,effect,0
386,The boy flinched.,The girl ignored him.,The girl poked him.,cause,1
387,The doctors gave the patient an artificial limb.,They amputated her leg.,They monitored her vitals.,cause,0
388,The boy pinched the girl's elbow.,She shrugged her shoulders at him.,She jerked her arm away from him.,effect,1
389,I asked my friend for advice.,I valued his opinion.,I knew I was right.,cause,0
390,The boy stepped in mud.,The mud stuck to his shoes.,The mud hit him in the face.,effect,0
391,The town received several inches of snow.,Schools shut down.,People hid underground.,effect,0
392,The employee's shift ended.,He went home for the day.,He threatened to quit the job.,effect,0
393,The tree damaged the house.,The tree fell onto the roof.,The tree shaded the backyard.,cause,0
394,The wood split in half.,I stacked the wood in the fireplace.,I swung the axe down to the wood.,cause,1
395,The family congratulated the couple.,The couple announced that they were separating.,The couple announced that they were having a baby.,cause,1
396,The girl sent the boy a valentine.,She liked him.,She kissed him.,cause,0
397,I nodded my head at my friend's statement.,I was confused.,I agreed with him.,cause,1
398,The friends flipped a coin.,They wanted to find a compromise.,They wanted to make a fair decision.,cause,1
399,The timer in the kitchen went off.,The man unloaded the groceries into the refrigerator.,The man took the pizza out of the oven.,effect,1
400,The woman set an ambitious goal.,She slacked off.,She worked hard.,effect,1
401,The wealthy man died of old age.,His son got into legal trouble.,His son inherited his fortune.,effect,1
402,The woman stomped on the flames.,The flames went out.,Smoke arose from the flames.,effect,0
403,The woman's car was in the shop.,Her driver's license was revoked.,She got in a car accident.,cause,1
404,I slept through my alarm.,I made breakfast.,I missed breakfast.,effect,1
405,The public figure got out of the limousine.,Cameras flashed in his direction.,His family attended the press conference.,effect,0
406,The woman lingered in the bathtub.,The bathwater became lukewarm.,The bathwater drained out of the tub.,effect,0
407,The college student wanted to meet other students on campus.,He joined a fraternity.,He majored in engineering.,effect,0
408,I lifted up the couch cushions.,I was looking for loose change.,I was rearranging the living room.,cause,0
409,The wasp flew towards the boy.,The boy ran away.,The boy picked a flower.,effect,0
410,The woman was found guilty of a misdemeanor.,She was sentenced to perform community service.,She was put on death row.,effect,0
411,I stirred the sugar into the hot tea.,The tea steamed.,The sugar dissolved.,effect,1
412,The veteran walked with a limp.,He was drafted for the war.,He was injured in battle.,cause,1
413,The criminal ran away from the police.,The police attended to the victim.,The police chased the criminal.,effect,1
414,The laptop wouldn't turn on.,I dropped it.,I charged it.,cause,0
415,The woman ran out of room in her closet.,She acquired an extensive wardrobe.,She folded her laundry.,cause,0
416,The man was heartbroken.,His wife gave birth.,His wife left him.,cause,1
417,The man obtained a degree.,He became qualified for the job he wanted.,His job offer was rescinded.,effect,0
418,The man's voice projected clearly throughout the auditorium.,He greeted the audience.,He spoke into the microphone.,cause,1
419,I tossed a coin into the fountain of water.,The coin sunk to the bottom.,The coin broke in half.,effect,0
420,The player hit the ball toward the hole.,The ball went in the hole.,The ball retreated back to the player.,effect,0
421,I breathed in the dust in the attic.,I hiccupped.,I sneezed.,effect,1
422,The store cashier called security.,The customer used counterfeit money.,The customer left his headlights on.,cause,0
423,I took the garbage out.,The garbage made the kitchen smell bad.,I accidentally threw away my shopping list.,cause,0
424,The family went to the zoo.,The children admired the animals.,The children chased the animals.,effect,0
425,The man's breathing was loud.,His kidneys were failing.,His lungs were congested.,cause,1
426,I had an extra ticket for the concert.,I asked my friend for directions to the venue.,I asked my friend if he was interested in going.,effect,1
427,The air conditioner in the house broke.,I brought out blankets.,I opened the windows.,effect,1
428,The boy's back ached.,His backpack was open.,His backpack was heavy.,cause,1
429,I bought my mother a present.,I baked her a cake.,It was her birthday.,cause,1
430,The daffodils in the garden were destroyed.,A bee stung the gardener.,Squirrels dug up the bulbs.,cause,1
431,I struck the match.,The flame faded out.,The match produced a flame.,effect,1
432,The disputing parties reached a settlement.,They didn't want to debate in court.,They wanted to repair their personal relationship.,cause,0
433,The children were sent to an orphanage.,Their parents died.,Their parents spoiled them.,cause,0
434,A meteorite landed in the ocean.,A tsunami occurred.,It began to hail.,effect,0
435,The hiker encountered a poisonous snake.,She became dehydrated.,She panicked.,effect,1
436,The oven became hot.,I turned the oven on.,I put the dish in the oven.,cause,0
437,I squeezed the lemon wedge.,The lemon got moldy.,The lemon squirted.,effect,1
438,The country discovered new land.,The country abandoned the land.,The country colonized the land.,effect,1
439,The glass toppled off the table.,It shattered all over the floor.,It landed in a pile of laundry.,effect,0
440,The table wobbled.,The floor was uneven.,The floor was slippery.,cause,0
441,The father caught his son lying.,His son confessed the truth.,The father trusted his son.,effect,0
442,The man's head throbbed with pain.,He took cough syrup.,He took aspirin.,effect,1
443,The train slowed down.,It was approaching the station.,It was running behind schedule.,cause,0
444,The man went through therapy.,Mental illness ran in his family.,He was diagnosed with depression.,cause,1
445,The woman clutched her throat.,She swallowed her food.,She choked on her food.,cause,1
446,The woman had a sore throat.,Her voice sounded raspy.,She spoke with an accent.,effect,0
447,The dog eyed the juicy steak on the table.,It drooled.,It laid down.,effect,0
448,The woman's business succeeded.,She fired her employees.,She became wealthy.,effect,1
449,The students exited the classroom.,The bell rang.,The teacher assigned homework.,cause,0
450,The woman claimed she saw a ghost.,Her acquaintances expressed skepticism.,Her acquaintances related to her.,effect,0
451,The man lost his hearing.,He nearly drowned in the ocean.,He was nearly killed in an explosion.,cause,1
452,The child let go of the balloon string.,The balloon deflated.,The balloon rose into the air.,effect,1
453,The man lost his ability to speak.,He had a stroke.,He took a deep breath.,cause,0
454,The woman tripped on the sidewalk.,There was a crack in the cement.,She heard her name being called.,cause,0
455,The man did a canon ball into the pool.,The lifeguard jumped in after him.,The man soaked the lifeguard.,effect,1
456,I took antibiotics.,My infection cleared up.,My infection spread.,effect,0
457,The traffic light turned yellow.,The driver pushed the brake.,The driver honked his horn.,effect,0
458,The plastic container melted.,I soaked the container in warm water.,I placed the container on the hot stove.,cause,1
459,The car got dented.,The driver hit a telephone pole.,The driver ran a red light.,cause,0
460,The boy studied all night.,He skipped the exam.,He passed the exam.,effect,1
461,The young boy clung to the ledge of the pool.,He feared learning to swim.,The lifeguard was on duty.,cause,0
462,I put my hand to my chest.,I felt my heartbeat.,My heart rate sped up.,effect,0
463,The building adjacent to my office was under construction.,My office was crowded.,My office was noisy.,effect,1
464,The family wanted to get to know their new neighbors.,The family invited the neighbors over for dinner.,The family waved to the neighbors from their yard.,effect,0
465,Water splashed up from the pool.,The swimmer dove into the pool.,The swimmer floated in the pool.,cause,0
466,I bit into a slice of watermelon.,I accidentally swallowed a seed.,I accidentally chipped my tooth.,effect,0
467,The boy tripped.,His jacket was unzipped.,His shoelaces were untied.,cause,1
468,The woman put earplugs in.,She was distracted by noise.,She got her ears pierced.,cause,0
469,I refilled my water bottle.,I drank all the water in it.,I kept it in the fridge.,cause,0
470,The television show was censored.,It contained vulgar language.,It had a complicated plot.,cause,0
471,The ship wrecked.,The crew drowned.,The crew encountered pirates.,effect,0
472,The boy felt stumped by the riddle.,He solved the riddle.,He requested a hint.,effect,1
473,The phone rang.,The man hung up the phone.,The man picked up the phone.,effect,1
474,The woman was staring at me.,I hugged her.,I felt uncomfortable.,effect,1
475,The group left the museum.,They took pictures of the exhibits.,They viewed all the exhibits.,cause,1
476,The man started an argument with me.,My friend introduced me to the man.,My friend stood up for me.,effect,1
477,The tire on my bike was flat.,I pumped air into the tire.,I switched gears on the bike.,effect,0
478,The girl looked pale.,Her father read her a story.,Her father felt her forehead.,effect,1
479,The pen ran out of ink.,I used a pencil.,I signed my name.,effect,0
480,The man was denied for a loan.,He was in debt.,He started a business.,cause,0
481,The girl stayed home from school.,She had chicken pox.,She enjoyed learning math.,cause,0
482,The trash bag was full.,I took it to the dumpster.,I dumped it down the sink.,effect,0
483,I vacuumed the carpet.,My roommate spilled punch.,My dog shed hair.,cause,1
484,The man lost his temper.,He turned off his computer.,He threw a chair across the room.,effect,1
485,The girl threw a twig into the campfire.,The twig burned.,The fire went out.,effect,0
486,The man got out of the shower.,The hot water was gone.,He couldn't find a towel.,cause,0
487,The parents wanted their children to go to college.,They set aside a savings fund for tuition.,They encouraged their children to play outside.,effect,0
488,The man unlaced his shoes.,The shoes loosened.,The shoes became worn.,effect,0
489,The man ate half of the entree.,He refrigerated the leftovers.,He saved the recipe.,effect,0
490,My ankle was swollen.,I put ice on it.,I rubbed lotion on it.,effect,0
491,My office door was open.,I talked to my colleague at my desk.,I overheard the conversation in the hall.,effect,1
492,I had to wait in line.,I took a seat.,I skimmed a magazine.,effect,1
493,The man swatted at the fly.,The fly buzzed away.,The fly stayed still.,effect,0
494,The man wrote a will.,He was dying.,He was a widower.,cause,0
495,The runner sensed his competitor gaining on him.,He dropped out of the race.,He sped up his pace.,effect,1
496,I thought carefully about the problem.,I asked for advice.,I came up with a solution.,effect,1
497,The traveler walked on the shaky suspension bridge.,He felt terrified.,He felt ecstatic.,effect,0
498,The man anticipated the team's victory.,He met his friends to watch the game.,He made a bet with his friends.,effect,1
499,The boy couldn't fall asleep.,He set his alarm clock.,He counted sheep.,effect,1
